"created_at",content,interactions,source
"Apr 3, 2024 @ 10:57:12.000","@la_grenitas @STaboadaMx @ClaraBrugadaM En la colonia Del Valle: cartel que pegan de Clara Brugada, cartel que rompen los vecinos. Nadie la quiere en la Benito Juárez.",36,"https://twitter.com/YayaMarchena/status/1775568244557881599"
"Apr 3, 2024 @ 22:30:56.000","Durante nuestro recorrido por el Distrito 2, encontramos otra mega fuga de agua. El gobierno de Morena provocó y nos abandonó en esta grave crisis. 

Necesitamos un cambio de rumbo con @STaboadaMx para terminar de una vez por todas con este terrible situación. https://t.co/1Y1N8SeEHs",34,"https://twitter.com/GarridoDiego_/status/1775742829135847640"
"Apr 3, 2024 @ 21:17:06.000","Tengan para que aprendan‼️
⁦#ClaraCorrupta 
En Iztapalapa 
#NoHuboTransformacion @ClaraBrugadaM⁩ por tu pésima gestión utópica, recapacitaron y ahora están con #TaboadaJefeDeGobierno 
#ElCambioViene https://t.co/9LYA2e7qxy",34,"https://twitter.com/gbonillah/status/1775724244951064977"
"Apr 3, 2024 @ 15:23:43.000","Qué triste espectáculo @ClaraBrugadaM @STaboadaMx @MiguelTorrucoG. https://t.co/br4DBfXjlV",33,"https://twitter.com/maria2veces/status/1775635315094368347"
"Apr 3, 2024 @ 20:47:09.000","En la CDMX #NoHuboTransformacion y
#ElCambioViene gracias a qué todos en morena son unos inútiles, abandonan el barco y se van con Taboada
🏃 https://t.co/a4l7fcLh2X",32,"https://twitter.com/AntiANLO2000/status/1775716708528894331"
"Apr 3, 2024 @ 13:50:14.000","@BicireporteraDF Vota por Taboada una vez que tome el cargo, NOSOSTROS MISMOS LE EXIGIREMOS QUE SE PONGA A TRABAJAR Y RECONSTRUIR EL DESORDEN QUE PRIVA DESDE HACE 26 AÑOS EN ESTA NOBLE CIUDAD

NO VOTES POR BRUGADA SERÍA UN ERROR PARA BOTÓN DE MUESTRA DATE UNA VUELTECITA A IZTAPALAPA",32,"https://twitter.com/ja48400/status/1775611788874129512"
"Apr 3, 2024 @ 15:27:39.000","Qué demonios sucede con el agua que huele a gasolina o thinner!! @SacmexCDMX @En_laDelValle #AguaGasolina #AguaSucia qué miedo! @STaboadaMx @martibatres @BJAlcaldia @SSalud_mx",30,"https://twitter.com/marcelamerino/status/1775636303884820595"
"Apr 3, 2024 @ 10:45:00.000","#PorSiNoLoViste Denuncian a #SandraCuevas por delito electoral contra #SantiagoTaboada https://t.co/cQUhu5irnZ…Síguenos en
@FZExpress",30,"https://twitter.com/PacoZeaCom/status/1775565172926751014"
"Apr 3, 2024 @ 12:34:16.000","Madre santísima la cantidad de basura electoral que colocaron sobre Av. Parque Lira Tabe y Taboada. 
Son unos puercos @PAN_CDMX",29,"https://twitter.com/natszendro/status/1775592670133444946"
"Apr 3, 2024 @ 20:56:58.000","Se sigue sumando liderazgos de morena al equipo de Santiago Taboada, ya se siente el cambio.
#NoHuboTransformacion #ElCambioViene https://t.co/adA3HyWux5",25,"https://twitter.com/AntiANLO2000/status/1775719181473677736"
"Apr 3, 2024 @ 05:00:26.000","Militantes del PAN Coyoacán dejan equipo de Taboada para sumarse a proyecto de Clara Brugada 👇 https://tinyurl.com/2c8d7fpo",22,"https://www.facebook.com/ElUniversalMetropoli/posts/pfbid0c2yBFprww96M2hCRNw73JbSXDiPEKxPhSy8YezKZnAgiCQVgEMPN64EG4V4yUiJcl"
"Apr 3, 2024 @ 03:19:26.000","@polistermx @STaboadaMx @Chertorivski Ajá  ,la cuatrera""  clara burrada"" es igual de corrupta que el #NarcoPresidenteAMLO30  #NarcoCandidataClaudia30 https://t.co/gpwZEEZcup",20,"https://twitter.com/CanalesMatia/status/1775453041505816908"
"Apr 3, 2024 @ 20:51:28.000","Los que estuvieron en Morena están abandonando el barco, morena hace agua, prefieren ir con quién sí dió resultados y va a ganar, todos con Taboada
#NoHuboTransformacion #ElCambioViene https://t.co/SD6ACkdksO",19,"https://twitter.com/AntiANLO2000/status/1775717798175560101"
"Apr 4, 2024 @ 00:06:32.000","@STaboadaMx El PRIAN 96 años tuvieron de tiempo y de oportunidad , quieren 6 años más para que?",17,"https://twitter.com/rikiricardof/status/1775766887336472844"
"Apr 3, 2024 @ 20:49:29.000","Cuando la vergüenza es más grande que los logros es hora de abandonar, por eso morena abandona el partido y se suma a Taboada 👍🏻💙
#NoHuboTransformacion #ElCambioViene https://t.co/jzebx13B0H",16,"https://twitter.com/AntiANLO2000/status/1775717295244853253"
"Apr 3, 2024 @ 16:59:59.000","@El_Universal_Mx ""Triunfo contundente"" 🤣🤣🤣 pobrecita la Clarita Matusalén brujada @ClaraBrugadaM  ¡hasta cree! la Sra. ya no arranca, llegó a su tope, ni en su casa le creen, @STaboadaMx ya la rebasó y ese es su miedo. 😂 #YaSeVan #ClaraCorrupta #NarcoCandidataBrugada #NarcoCandidataMargarita https://t.co/4eM7JbwpuG",15,"https://twitter.com/GARCIPAVON/status/1775659540219822144"
"Apr 3, 2024 @ 19:37:47.000","@DanyAlvarezca @JPsagalvez @_JRLB_ @ElBaronNews_ @AtypicalTeve @JTrianaT @ferbelaunzaran @luisag_urena @AAtaydeR @PAN_CDMX @SocCivilMx @TlalpanVecinos @STaboadaMx Bien por @JPsagalvez 👏 se nota cuando hay educación, él muy consciente de que puede perjudicar a @XochitlGalvez pero con esto muestra que es un gran joven que cometió un error y lo está remediando. Ya quisieran tener un mínimo de su honradez las lacras #ClanLopezBeltranyAmigos https://t.co/VewxtcxPO9",14,"https://twitter.com/guerisilla8/status/1775699252372812055"
"Apr 3, 2024 @ 18:34:57.000","Lamentablemente el otro rostro de la alcaldía Iztapalapa es la cara oculta de las UTOPIAS, una alcaldía abandonada 

Pero el día dos de Junio ya se van @AccionNacional @STaboadaMx @KarenQuirogaAn @acostanaranjo @esanchezXXXI https://t.co/BXFRPve21h",14,"https://twitter.com/tor13612993/status/1775683439779610740"
"Apr 3, 2024 @ 10:47:52.000","Batres afirmó que la denuncia presentada por Federico Döring, coordinador de campaña de Santiago Taboada, candidato de la coalición “Va X la CDMX” a la Jefatura de Gobierno, carece de legitimación. ",14,"https://www.facebook.com/ExcelsiorMex/posts/pfbid0w9tXgx5cSYuF63LNRUsTwEgmYeJ2629BaLLd9EyvJrq8ZfkVAz1W1VvB1aBxPDezl"
"Apr 3, 2024 @ 18:06:43.000","@BicireporteraDF @STaboadaMx Nunca te he visto recorrer Iztapalapa, supongo que no te ha tocado ver el paraíso ciclista utópico.

Una razón más para votar por la Rata Brugada.",13,"https://twitter.com/DonCexar/status/1775676334376653030"
"Apr 3, 2024 @ 13:32:43.000","@BicireporteraDF Clara sería la misma cantaleta y dudo de resultados, iztapalapa solo mejoró visualmente, pero en inseguridad siguió igual o peor. Chert... Pues es como el comodin quita votos. Y Taboada sepa...pero la BJ al menos puedes caminar con mayor seguridad que otras alcaldías",12,"https://twitter.com/DarthValkyria/status/1775607379213549674"
"Apr 3, 2024 @ 09:54:37.000","@STaboadaMx @GamoMonte En Xochimilco y en toda la CDMX !
estamos cansados del gobierno fallido @STaboadaMx , queremos resultados , lo bueno que #sElCambioViene",12,"https://twitter.com/athena102503/status/1775552492841087305"
"Apr 3, 2024 @ 13:32:43.000","@BicireporteraDF Clara sería la misma cantaleta y dudo de resultados, iztapalapa solo mejoró visualmente, pero en inseguridad siguió igual o peor. Chert... Pues es como el comodin quita votos. Y Taboada sepa...pero la BJ al menos puedes caminar con mayor seguridad que otras alcaldías",11,"https://twitter.com/DarthValkyria/status/1775607379213549674"
"Apr 3, 2024 @ 07:38:42.000","@rod_mud @Jaime_Mata_S @STaboadaMx @FiscaliaCDMX @UlisesLaraCDMX ¿El cartel inmobiliario de los Chávez Contreras?

Háblanos de Guadalupe y Rodrigo, de los auto préstamos del INVI.

Ese sí es un cartel inmobiliario y está en Morena. 

Anda háblanos de ellos.",11,"https://twitter.com/neoliberalover/status/1775518289956859913"
"Apr 3, 2024 @ 07:57:14.000","Diario de campaña día 3 (ayer)

Recorrí Nativitas casa por casa, la principal preocupación de los vecinos es la seguridad, nadie confía en @BlindarBJ el gobierno de @STaboadaMx fue una estafa. La falta de servicios es lastimosa. https://t.co/vKSF0LXvMR",10,"https://twitter.com/Pablo_Hdez/status/1775522954647929234"
"Apr 3, 2024 @ 22:42:44.000","Las propuestas del PAN que buscan alcoholizarte . 

Santiago Taboada promete ampliar horarios de la vida nocturna en CDMX. 
 Platicó con los estudiantes sobre el modelo que busca para la Ciudad y dejó claro que lo que se requiere es darle un “empujón a los jóvenes” https://t.co/ro0SCTwqIJ",9,"https://twitter.com/vera_daniel1/status/1775745797977526543"
"Apr 3, 2024 @ 18:11:01.000","@alvaro_delgado @AlexMonroy4e @STaboadaMx @JorgeRoHe @XochitlGalvez ¡Suscribo! En su momento salió el reportaje de las supuestas ""novatadas"" que realizaban a l@s jóvenes aspirantes a la afiliación del aberrante @AccionNacional; por ende, es entendible que much@s panistas como Taboada,Tabe, J. Romero, Doring, Mariana G. y Kenia sean tan ruines.",9,"https://twitter.com/EstoyAqu4/status/1775677419250217021"
"Apr 3, 2024 @ 14:18:55.000","Varios liderazgos del #PAN en #Coyoacán han decidido abandonar la campaña de Santiago RaTaboada para sumarse al proyecto de Clara Brugada.

#tiempodecanallas

➡️ https://t.co/vFKFzgOh3T https://t.co/Dbk1yWcaWT",9,"https://twitter.com/TCanallas_mx/status/1775619009469350184"
"Apr 3, 2024 @ 14:16:17.000","La gente se solidariza.
Ya harta y cansada de cómo está viviendo quieren un cambio.
Todos nos dicen que nos brindarán su apoyo este 2 de Junio.
Vota PRI
VOTA EFREN SANCHEZ
#YaSeVan 
#ElCambioViene 
#Iztapalapa
#TodosconEfrenSanchez 
@KarenQuirogaAn @STaboadaMx @XochitlGalvez https://t.co/bzo6cGJmHg",9,"https://twitter.com/esanchezXXXI/status/1775618345598951731"
"Apr 3, 2024 @ 19:15:57.000","El próximo miércoles 🗓 10 de abril, más de 500 empresarios de #CoparmexCDMX participaremos en un encuentro con los candidatos a la Jefatura de Gobierno de la Ciudad de México: @ClaraBrugadaM, @Chertorivski y @STaboadaMx, donde dialogaremos sobre sus propuestas y proyectos para… https://t.co/2JePwVAEbQ",8,"https://twitter.com/Armando_ZunigaS/status/1775693757918150726"
"Apr 3, 2024 @ 18:00:33.000","“Se blindará y combatirá la corrupción en la alcaldía #Cuauhtémoc”: Santiago Taboada https://t.co/ALw3HGlmLh #ElCambioViene 🙌🔵🟡🔴 https://t.co/Zr8ghyKa7F",8,"https://twitter.com/elimarinr/status/1775674783335600560"
"Apr 3, 2024 @ 12:34:34.000","📽️Hay obras y obras, y luego, obras maestras que salen de la implicación, talento y predisposición para conseguir este resultado. Bravo por toda esa gente y enhorabuena @TtaboadaRober
#IKEA #ABBA #Waterloo
#50WATERLOO #ASTURIAS #ABBA
https://t.co/IHJW7le6gI",8,"https://twitter.com/Radio_Sporting/status/1775592745383440706"
